iucn_sid,stressor,range_km2,impact_km2,incr2_km2,incr3_km2,decr2_km2,decr3_km2
133415,direct_human,3362242.516164623,452265.3076583638,46945.96150412163,0,7996.357340109075,0
133415,light,3362242.516164623,NA,NA,NA,NA,NA
133415,nutrient,3362242.516164623,NA,NA,NA,NA,NA
133415,oa,3362242.516164623,3099125.072707597,2640223.0597459897,177369.4572303157,0,0
133415,organic,3362242.516164623,NA,NA,NA,NA,NA
133415,pel_hb,3362242.516164623,NA,NA,NA,NA,NA
133415,pel_lb,3362242.516164623,NA,NA,NA,NA,NA
133415,shipping,3362242.516164623,2306339.119927177,1692926.735133975,350723.70743061905,76812.88437532813,20213.135629310334
133415,slr,3362242.516164623,NA,NA,NA,NA,NA
133415,sst,3362242.516164623,3060557.9523212244,2885402.1857679556,2795253.015560213,5603.650206200551,5029.051194831304
133422,art_fish,4736394.296547378,1780079.7821351371,953892.8607285301,3036.2929371043,14193.818048459574,75.09956458619926
133422,cum_all,4736394.296547378,4533429.859223345,4118001.762494814,3303534.7398028863,32715.466888677547,6848.032548129013
133422,cum_climate,4736394.296547378,4028400.1207206002,3905027.251705769,3404314.8649713993,1776.1920667915263,1776.1920667915263
133422,cum_fishing,4736394.296547378,1780079.7821351371,953892.8607285301,3036.2929371043,14193.818048459574,75.09956458619926
133422,cum_land-based,4736394.296547378,430643.6185139155,48681.98403887528,0,7475.899879622711,0
133422,cum_ocean,4736394.296547378,3282222.181378767,2388794.077485052,420903.3789462996,124785.78874802083,41870.628013447786
133422,dem_dest,4736394.296547378,NA,NA,NA,NA,NA
133422,dem_nondest_hb,4736394.296547378,NA,NA,NA,NA,NA
133422,dem_nondest_lb,4736394.296547378,NA,NA,NA,NA,NA
133422,direct_human,4736394.296547378,430643.6185139155,48681.98403887528,0,7475.899879622711,0
133422,light,4736394.296547378,NA,NA,NA,NA,NA
133422,nutrient,4736394.296547378,NA,NA,NA,NA,NA
133422,oa,4736394.296547378,3058477.8689620513,2640484.161676584,177369.4572303157,0,0
133422,organic,4736394.296547378,NA,NA,NA,NA,NA
133422,pel_hb,4736394.296547378,NA,NA,NA,NA,NA
133422,pel_lb,4736394.296547378,NA,NA,NA,NA,NA
133422,shipping,4736394.296547378,3282222.181378767,2388794.077485052,420903.3789462996,124785.78874802083,41870.628013447786
133422,slr,4736394.296547378,NA,NA,NA,NA,NA
133422,sst,4736394.296547378,3794837.8495980855,3638287.5639823596,3389453.010094441,2253.8602407717085,2253.8602407717085
133424,art_fish,5867226.9750487665,2518623.7629676103,1130877.214349784,3670.272997271486,166447.7098111077,13563.330979029894
133424,cum_all,5867226.9750487665,5658665.0002786955,4739590.39427599,3675321.2558437972,100751.30777725324,27889.88314314309
133424,cum_climate,5867226.9750487665,5140716.389852131,4526338.189682565,3908576.1427551284,52785.38940807865,44515.70458821523
133424,cum_fishing,5867226.9750487665,2518623.7629676103,1130877.214349784,3670.272997271486,166447.7098111077,13563.330979029894
133424,cum_land-based,5867226.9750487665,511177.4244787411,61361.585238085914,210.45343392087284,7577.196971572349,0
133424,cum_ocean,5867226.9750487665,4224238.8315484505,2911488.805830328,479068.8663362096,285157.419720949,73360.0508343897
133424,dem_dest,5867226.9750487665,NA,NA,NA,NA,NA
133424,dem_nondest_hb,5867226.9750487665,NA,NA,NA,NA,NA
133424,dem_nondest_lb,5867226.9750487665,NA,NA,NA,NA,NA
